ro;percent;DaysSaved;tp
18;6;-3.52843168856676;TP = 75%
19;6;-5.22304915911198;TP = 75%
20;6;-6.75322986093958;TP = 75%
1;7;-8.37224660275998;TP = 75%
2;7;-7.47068279449648;TP = 75%
3;7;5.047181650773;TP = 75%
4;7;23.4618444578369;TP = 75%
5;7;35.5761265129981;TP = 75%
6;7;43.5597803800706;TP = 75%
7;7;47.3658928469541;TP = 75%
8;7;43.9637262713813;TP = 75%
9;7;36.6712685956371;TP = 75%
10;7;29.8134927686548;TP = 75%
11;7;23.9209527139161;TP = 75%
12;7;18.8757652937666;TP = 75%
13;7;14.5299550106814;TP = 75%
14;7;10.7572670415966;TP = 75%
15;7;7.45608873231322;TP = 75%
16;7;4.54572911286726;TP = 75%
17;7;1.9620618195712;TP = 75%
18;7;-0.346185298157792;TP = 75%
19;7;-2.42033773370231;TP = 75%
20;7;-4.29399248443445;TP = 75%
1;8;-9.5697668435181;TP = 75%
2;8;-8.66371998774101;TP = 75%
3;8;3.86324320539542;TP = 75%
4;8;22.29937672403;TP = 75%
5;8;34.4793884168061;TP = 75%
6;8;42.7642556164283;TP = 75%
7;8;48.360878441104;TP = 75%
8;8;50.4422825575484;TP = 75%
9;8;46.3908311894833;TP = 75%
10;8;39.2660604805722;TP = 75%
11;8;32.5123886400307;TP = 75%
12;8;26.6105658874712;TP = 75%
13;8;21.4823471834025;TP = 75%
14;8;17.0085146023275;TP = 75%
15;8;13.0818045933167;TP = 75%
16;8;9.61288478726252;TP = 75%
17;8;6.52894734639138;TP = 75%
18;8;3.7708972821503;TP = 75%
19;8;1.29063957435123;TP = 75%
20;8;-0.951186654395684;TP = 75%
1;9;-10.7658092103701;TP = 75%
2;9;-9.85644940910986;TP = 75%
3;9;2.67654675322821;TP = 75%
4;9;21.124810272173;TP = 75%
5;9;33.3333895670541;TP = 75%
6;9;41.7057607797554;TP = 75%
7;9;47.6884436076402;TP = 75%
8;9;51.762882840058;TP = 75%
9;9;52.8725823637854;TP = 75%
10;9;48.7744912202462;TP = 75%
11;9;41.9338616540403;TP = 75%
12;9;35.3128382732071;TP = 75%
13;9;29.4301523069017;TP = 75%
14;9;24.2498850622852;TP = 75%
15;9;19.6790424592294;TP = 75%
16;9;15.6276751991629;TP = 75%
17;9;12.0179168276495;TP = 75%
18;9;8.78455935108175;TP = 75%
19;9;5.87354917413325;TP = 75%
20;9;3.2401269183752;TP = 75%
1;10;-11.9602539088806;TP = 75%
2;10;-11.0483670269932;TP = 75%
3;10;1.48886082364276;TP = 75%
4;10;19.9447112896652;TP = 75%
5;10;32.1683410476933;TP = 75%
6;10;40.5756980063449;TP = 75%
7;10;46.6630809740272;TP = 75%
8;10;51.1697423166776;TP = 75%
9;10;54.2527867622848;TP = 75%
10;10;54.9043847159356;TP = 75%
11;10;51.1448662205541;TP = 75%
12;10;44.6903732264038;TP = 75%
13;10;38.2305005849084;TP = 75%
14;10;32.3897828554487;TP = 75%
15;10;27.1816155142049;TP = 75%
16;10;22.5381323784221;TP = 75%
17;10;18.3855228608419;TP = 75%
18;10;14.6567154992247;TP = 75%
19;10;11.2938008694814;TP = 75%
20;10;8.2476938140582;TP = 75%
1;11;-13.1530185480568;TP = 75%
2;11;-12.239154450281;TP = 75%
3;11;0.301170587766915;TP = 75%
4;11;18.7621156333217;TP = 75%
5;11;30.9947178201198;TP = 75%
6;11;39.4195298514514;TP = 75%
7;11;45.5464738499689;TP = 75%
8;11;50.1664469416489;TP = 75%
9;11;53.6801110821495;TP = 75%
10;11;56.1118697664161;TP = 75%
11;11;56.6285396671478;TP = 75%
12;11;53.4697219997739;TP = 75%
13;11;47.5255947082079;TP = 75%
14;11;41.2663820132354;TP = 75%
15;11;35.489853329016;TP = 75%
16;11;30.2745350575408;TP = 75%
17;11;25.5787984235204;TP = 75%
18;11;21.3444764386845;TP = 75%
19;11;17.5148884907936;TP = 75%
20;11;14.0392079299475;TP = 75%
